,pyzx_nCZs,pyzx_totalFidelities,pyzx_totalGateFidelities,pyzx_totalIdleTime,pyzx_totalExecutionTime,standard_nCZs,standard_totalFidelities,standard_totalGateFidelities,standard_totalIdleTime,standard_totalExecutionTime,hybrid_0_1_nCZs,hybrid_0_1_totalFidelities,hybrid_0_1_totalGateFidelities,hybrid_0_1_totalIdleTime,hybrid_0_1_totalExecutionTime,hybrid_0_2_nCZs,hybrid_0_2_totalFidelities,hybrid_0_2_totalGateFidelities,hybrid_0_2_totalIdleTime,hybrid_0_2_totalExecutionTime,hybrid_0.005_1_nCZs,hybrid_0.005_1_totalFidelities,hybrid_0.005_1_totalGateFidelities,hybrid_0.005_1_totalIdleTime,hybrid_0.005_1_totalExecutionTime,hybrid_0.005_2_nCZs,hybrid_0.005_2_totalFidelities,hybrid_0.005_2_totalGateFidelities,hybrid_0.005_2_totalIdleTime,hybrid_0.005_2_totalExecutionTime,hybrid_0.05_1_nCZs,hybrid_0.05_1_totalFidelities,hybrid_0.05_1_totalGateFidelities,hybrid_0.05_1_totalIdleTime,hybrid_0.05_1_totalExecutionTime,hybrid_0.05_2_nCZs,hybrid_0.05_2_totalFidelities,hybrid_0.05_2_totalGateFidelities,hybrid_0.05_2_totalIdleTime,hybrid_0.05_2_totalExecutionTime,name
14,15.0,0.9160881137926086,0.9216092752160501,8880.000000000005,808.0454545454551,10.0,0.9383994035168267,0.9407368906400684,3676.600000000001,334.80000000000007,12.0,0.928864534548651,0.9330386619239516,6626.200000000001,603.3000000000001,13.0,0.9246305135481295,0.9292132034100632,7306.400000000003,665.1818181818185,7.0,0.9370444319838666,0.9407361843814944,5810.901126998419,528.672829727129,7.0,0.9397990095369912,0.9416776265886763,2951.173803043945,268.9091933634926,7.0,0.9370444319838666,0.9407361843814944,5810.901126998419,528.672829727129,7.0,0.9397990095369912,0.9416776265886763,2951.173803043945,268.9091933634926,adder_n4.qasm
15,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,3.0,0.9842803666146094,0.9842984161853718,27.1,2.6,cat_state_n4.qasm
16,21.0,0.8890419046214965,0.8973713659198779,13781.399999999996,1253.6181818181815,12.0,0.9219774905386647,0.9246750565007696,4317.6,393.81818181818187,13.0,0.9194899315498843,0.9236523061055903,6674.800000000001,607.7000000000002,11.0,0.9303716428796159,0.9331379674435236,4387.6,399.80909090909097,8.0,0.9369225260723719,0.9388558876977781,3046.4000000000005,277.9636363636364,8.0,0.9398713140170963,0.94177832293411,2995.500000000001,272.85454545454553,8.0,0.9369225260723719,0.9388558876977781,3046.4000000000005,277.9636363636364,8.0,0.9398713140170963,0.94177832293411,2995.500000000001,272.85454545454553,qft_n4.qasm
17,10.0,0.9383835673781057,0.9407364198009599,3700.8,337.1272727272727,6.0,0.9534080593854802,0.9553676170322357,3034.3,276.40909090909093,12.0,0.9271129068647231,0.9293121017770055,3501.3999999999996,319.0363636363636,11.0,0.9319183500962706,0.9331379674435238,1932.7999999999997,176.36363636363635,5.0,0.9434227199813945,0.9456550372263929,3492.7016904976267,318.01833549978426,5.0,0.9473235171142096,0.9495484224086784,3466.801126998417,315.8910115453107,5.0,0.9434227199813945,0.9456550372263929,3492.7016904976267,318.01833549978426,5.0,0.9446579060055641,0.9466014019780203,3037.3016904976266,276.5910627725115,wstate_n3.qasm
18,8.0,0.9589823826847658,0.9618765383108366,4453.3,405.1545454545455,14.0,0.9299575086916567,0.9337738564447183,6052.300000000002,550.8000000000002,8.0,0.9590750517115789,0.9618765383108364,4310.500000000001,392.34545454545463,8.0,0.9590750517115789,0.9618765383108364,4310.500000000001,392.34545454545463,8.0,0.9590750517115789,0.9618765383108364,4310.500000000001,392.34545454545463,8.0,0.9590750517115789,0.9618765383108364,4310.500000000001,392.34545454545463,8.0,0.9590750517115789,0.9618765383108364,4310.500000000001,392.34545454545463,8.0,0.9590750517115789,0.9618765383108364,4310.500000000001,392.34545454545463,qec_en_n5.qasm
19,3.0,0.9808427324243139,0.9808577986113419,22.7,2.4,8.0,0.9580101460596802,0.9580350393187272,38.4,4.0,3.0,0.980842732424314,0.980857798611342,22.7,2.4,3.0,0.980842732424314,0.980857798611342,22.7,2.4,3.0,0.980842732424314,0.980857798611342,22.7,2.4,3.0,0.980842732424314,0.980857798611342,22.7,2.4,3.0,0.980842732424314,0.980857798611342,22.7,2.4,3.0,0.980842732424314,0.980857798611342,22.7,2.4,hs4_n4.qasm
20,4.0,0.971229424606008,0.972448569580435,1853.8999999999996,168.96363636363634,6.0,0.9615681238639102,0.9635265884548694,3006.8999999999996,273.7090909090909,4.0,0.9712254814225487,0.972448569580435,1859.8999999999996,169.46363636363634,2.0,0.9752288020464194,0.9764517785169176,1852.1008452488131,168.75462229534665,2.0,0.9752288020464194,0.9764517785169176,1852.1008452488131,168.75462229534665,2.0,0.9752288020464194,0.9764517785169176,1852.1008452488131,168.75462229534665,2.0,0.9752288020464194,0.9764517785169176,1852.1008452488131,168.75462229534665,2.0,0.9752288020464194,0.9764517785169176,1852.1008452488131,168.75462229534665,qaoa_n3.qasm
21,30.0,0.8278274345647746,0.8392263237846416,20210.399999999976,1839.7454545454523,9.0,0.8984318468035588,0.8985215222639066,147.5,16.4,30.0,0.827830795550982,0.8392263237846418,20204.399999999976,1839.2454545454523,30.0,0.827830795550982,0.8392263237846418,20204.399999999976,1839.2454545454523,30.0,0.827830795550982,0.8392263237846418,20204.399999999976,1839.2454545454523,30.0,0.827830795550982,0.8392263237846418,20204.399999999976,1839.2454545454523,30.0,0.827830795550982,0.8392263237846418,20204.399999999976,1839.2454545454523,30.0,0.827830795550982,0.8392263237846418,20204.399999999976,1839.2454545454523,vqe_n4.qasm
22,4.0,0.9761945641435537,0.9778143404309906,2450.1,223.15454545454546,14.0,0.913687714791918,0.9152761106432968,2566.899999999999,234.55454545454538,4.0,0.9761985275015297,0.9778143404309906,2444.1,222.65454545454546,4.0,0.9761985275015297,0.9778143404309906,2444.1,222.65454545454546,4.0,0.9761985275015297,0.9778143404309906,2444.1,222.65454545454546,4.0,0.9761985275015297,0.9778143404309906,2444.1,222.65454545454546,4.0,0.9761985275015297,0.9778143404309906,2444.1,222.65454545454546,4.0,0.9761985275015297,0.9778143404309906,2444.1,222.65454545454546,simon_n6.qasm
23,1.0,0.9924071912816984,0.9924190774138084,17.7,1.7,1.0,0.9924071912816985,0.9924190774138085,17.7,1.7,1.0,0.992403162116681,0.9924190774138084,23.700000000000003,2.2,1.0,0.992403162116681,0.9924190774138084,23.700000000000003,2.2,1.0,0.992403162116681,0.9924190774138084,23.700000000000003,2.2,1.0,0.992403162116681,0.9924190774138084,23.700000000000003,2.2,1.0,0.992403162116681,0.9924190774138084,23.700000000000003,2.2,1.0,0.992403162116681,0.9924190774138084,23.700000000000003,2.2,deutsch_n2.qasm
24,30.0,0.8487401266351586,0.8596208597706873,18825.19999999998,1712.3272727272708,12.0,0.9135391077320256,0.9136409245984518,164.69999999999996,16.299999999999997,35.0,0.8309524189087931,0.8404595208726326,16812.199999999986,1530.463636363635,29.0,0.8499723214338929,0.8597125664025338,16838.899999999983,1532.5999999999985,27.0,0.8568189412226201,0.8658466263653231,15489.400845248805,1409.563713204437,31.0,0.8480075237480849,0.8578107494572697,16986.199999999986,1545.472727272726,27.0,0.8568189412226201,0.8658466263653231,15489.400845248805,1409.563713204437,31.0,0.8480075237480849,0.8578107494572697,16986.199999999986,1545.472727272726,variational_n4.qasm
25,56.0,0.7328882960193609,0.7437147373188286,21671.29999999996,1973.9545454545419,37.0,0.7681608218630175,0.773714578041522,10646.200000000006,972.8909090909096,46.0,0.7652845898373566,0.7718118663124756,12551.300000000007,1144.272727272728,46.0,0.7657238474371684,0.7725842574238342,13181.5,1202.4636363636364,28.0,0.8047213357209309,0.811626865219834,12627.573803043939,1151.209193363492,26.0,0.8083841008725192,0.8141532667482813,10509.338028520391,958.5819718634207,28.0,0.8047213357209309,0.811626865219834,12627.573803043939,1151.209193363492,26.0,0.8083841008725192,0.8141532667482813,10509.338028520391,958.5819718634207,qaoa_n6.qasm
26,139.0,0.3540877210632354,0.35798879059267424,16192.600000000004,1495.245454545455,128.0,0.3301414045064197,0.3321691586570539,9049.200000000008,853.9909090909099,124.0,0.36164988466126863,0.36471038688547097,12453.700000000004,1159.1363636363642,122.0,0.36299081020404905,0.3657676888944696,11262.390704182122,1048.8090909090924,68.0,0.4321126251206695,0.43669372793784994,15584.981408364207,1442.2090909090905,90.0,0.4088103473075438,0.4137014450512865,17576.181971863407,1622.8727528863265,82.0,0.411660669956785,0.4179498386983629,22406.93915551877,2062.2002561360005,94.0,0.39506627467712185,0.3991258945652603,15108.410141066703,1400.6910115453104,dnn_n8.qasm
