,pyzx_nCZs,pyzx_totalFidelities,pyzx_totalGateFidelities,pyzx_totalIdleTime,pyzx_totalExecutionTime,standard_nCZs,standard_totalFidelities,standard_totalGateFidelities,standard_totalIdleTime,standard_totalExecutionTime,hybrid_0_1_nCZs,hybrid_0_1_totalFidelities,hybrid_0_1_totalGateFidelities,hybrid_0_1_totalIdleTime,hybrid_0_1_totalExecutionTime,hybrid_0.005_1_nCZs,hybrid_0.005_1_totalFidelities,hybrid_0.005_1_totalGateFidelities,hybrid_0.005_1_totalIdleTime,hybrid_0.005_1_totalExecutionTime,hybrid_0.05_1_nCZs,hybrid_0.05_1_totalFidelities,hybrid_0.05_1_totalGateFidelities,hybrid_0.05_1_totalIdleTime,hybrid_0.05_1_totalExecutionTime,name
22,71.0,0.6699633673310492,0.680972717949108,24087.499999999967,2194.781818181815,60.0,0.6780534271318284,0.685877776109377,16955.699999999986,1547.5999999999988,82.0,0.6383058930328442,0.6456942102327093,17007.499999999993,1551.7454545454539,63.0,0.6779580022963188,0.6852175282011652,15740.401126998413,1436.2091933634922,61.0,0.6768736466156492,0.6852176996770228,18106.37323954472,1651.1727784999266,sat_n7.qasm
23,4.0,0.971229424606008,0.972448569580435,1853.8999999999996,168.96363636363634,6.0,0.9615681238639102,0.9635265884548694,3006.8999999999996,273.7090909090909,4.0,0.9712254814225487,0.972448569580435,1859.8999999999996,169.46363636363634,2.0,0.9752288020464194,0.9764517785169176,1852.1008452488131,168.75462229534665,2.0,0.9752288020464194,0.9764517785169176,1852.1008452488131,168.75462229534665,qaoa_n3.qasm
24,30.0,0.8278274345647746,0.8392263237846416,20210.399999999976,1839.7454545454523,9.0,0.8984318468035588,0.8985215222639066,147.5,16.4,30.0,0.827830795550982,0.8392263237846418,20204.399999999976,1839.2454545454523,30.0,0.827830795550982,0.8392263237846418,20204.399999999976,1839.2454545454523,30.0,0.827830795550982,0.8392263237846418,20204.399999999976,1839.2454545454523,vqe_n4.qasm
25,4.0,0.9761945641435537,0.9778143404309906,2450.1,223.15454545454546,14.0,0.913687714791918,0.9152761106432968,2566.899999999999,234.55454545454538,4.0,0.9761985275015297,0.9778143404309906,2444.1,222.65454545454546,4.0,0.9761985275015297,0.9778143404309906,2444.1,222.65454545454546,4.0,0.9761985275015297,0.9778143404309906,2444.1,222.65454545454546,simon_n6.qasm
26,1.0,0.9924071912816984,0.9924190774138084,17.7,1.7,1.0,0.9924071912816985,0.9924190774138085,17.7,1.7,1.0,0.992403162116681,0.9924190774138084,23.700000000000003,2.2,1.0,0.992403162116681,0.9924190774138084,23.700000000000003,2.2,1.0,0.992403162116681,0.9924190774138084,23.700000000000003,2.2,deutsch_n2.qasm
27,165.0,0.3974198082597826,0.4127249344735261,55844.59999999985,5088.799999999986,90.0,0.5181359495425547,0.5247321500466905,18694.999999999993,1711.9999999999993,107.0,0.509623283904664,0.5175298364387215,22751.799999999985,2079.645454545453,26.0,0.6532958214421604,0.6572964559473943,9022.311831564337,829.5730090223319,26.0,0.6532958214421604,0.6572964559473943,9022.311831564337,829.5730090223319,ising_n10.qasm
28,47.0,0.7640937508791039,0.7732753135117081,17652.199999999983,1608.1636363636349,43.0,0.7599502739576877,0.7651394489855967,10056.800000000008,918.7909090909098,45.0,0.7702177713532229,0.7749895164761401,9127.400000000005,834.5181818181823,38.0,0.7846732862322165,0.7901977367397516,10368.14563384066,946.7818437954189,38.0,0.7846732862322165,0.7901977367397516,10368.14563384066,946.7818437954189,qpe_n9.qasm
29,30.0,0.8487401266351586,0.8596208597706873,18825.19999999998,1712.3272727272708,12.0,0.9135391077320256,0.9136409245984518,164.69999999999996,16.299999999999997,35.0,0.8309524189087931,0.8404595208726326,16812.199999999986,1530.463636363635,27.0,0.8568189412226201,0.8658466263653231,15489.400845248805,1409.563713204437,27.0,0.8568189412226201,0.8658466263653231,15489.400845248805,1409.563713204437,variational_n4.qasm
30,56.0,0.7328882960193609,0.7437147373188286,21671.29999999996,1973.9545454545419,37.0,0.7681608218630175,0.773714578041522,10646.200000000006,972.8909090909096,46.0,0.7652845898373566,0.7718118663124756,12551.300000000007,1144.272727272728,28.0,0.8047213357209309,0.811626865219834,12627.573803043939,1151.209193363492,28.0,0.8047213357209309,0.811626865219834,12627.573803043939,1151.209193363492,qaoa_n6.qasm
31,139.0,0.3540877210632354,0.35798879059267424,16192.600000000004,1495.245454545455,128.0,0.3301414045064197,0.3321691586570539,9049.200000000008,853.9909090909099,124.0,0.36164988466126863,0.36471038688547097,12453.700000000004,1159.1363636363642,68.0,0.4321126251206695,0.43669372793784994,15584.981408364207,1442.2090909090905,82.0,0.411660669956785,0.4179498386983629,22406.93915551877,2062.2002561360005,dnn_n8.qasm
